KOPR;NOKOPR;UD01PR;UD02PR;KOSU;KOBO;DATOSUBIC;STFI1;STDV1;STOCNV1;STDV1C;STOCNV1C;RECENOFAC1;DESPNOFAC1;STFI2;STDV2;STOCNV2;STDV2C;STOCNV2C;RECENOFAC2;DESPNOFAC2;RLUD;FMPR;PFPR;HFPR;RUPR;MRPR
PCA929BCOINV1;LATEX SUPER 929 BLANCO INVIERNO GL;GL;GL;004;006;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;003;0001;0001;;
PCA929BOSC06;LATEX SUPER 929 BASE OSCURA 4 GALONES;GL;BD;004;006;;12,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;003;0001;0001;01;
PCA929BOSC06;LATEX SUPER 929 BASE OSCURA 4 GALONES;GL;BD;006;007;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;003;0001;0001;01;
PCA929BOSC06;LATEX SUPER 929 BASE OSCURA 4 GALONES;GL;BD;004;017;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;003;0001;0001;01;
PCA929BOSC06;LATEX SUPER 929 BASE OSCURA 4 GALONES;GL;BD;004;015;;4,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;003;0001;0001;01;
PCA929BOSC06;LATEX SUPER 929 BASE OSCURA 4 GALONES;GL;BD;004;013;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;003;0001;0001;01;
PCA929LATBL01;LATEX EXTRA PLUS 929 BLANCO GL.;GL;GL;005;005;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;003;0001;0001;01;
PCA929LATBL01;LATEX EXTRA PLUS 929 BLANCO GL.;GL;GL;004;015;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;003;0001;0001;01;
PCA929LATBL01;LATEX EXTRA PLUS 929 BLANCO GL.;GL;GL;004;017;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;003;0001;0001;01;
PCA929LATBL01;LATEX EXTRA PLUS 929 BLANCO GL.;GL;GL;006;007;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;003;0001;0001;01;
