ID,Código,Producto,Unidad,Lista,Desc10,Desc10+5,Desc10+5+3,Mínimo,Canal Digital,Es Personalizado,Costo Producción,Porcentaje Utilidad,Modo Precio,Fecha Creación,Fecha Actualización
81,"PCA108ROJO002","DOBLE ACCIÓN ESMALTE ANTICORROSIVO ROJO","1/4 de galón",6990.00,6290.00,5980.00,5800.00,5800.00,9087.00,No,,,,07-07-2025, 11:45:32 p. m.,07-07-2025, 11:45:32 p. m.
82,"PCA108VERDE02","DOBLE ACCIÓN ESMALTE ANTICORROSIVO VERDE","1/4 de galón",6990.00,6290.00,5980.00,5800.00,5800.00,9087.00,No,,,,07-07-2025, 11:45:33 p. m.,07-07-2025, 11:45:33 p. m.
83,"PCA922GRIMA02","ESMALTE SINTETICO GRIS","1/4 de galón",6150.00,5530.00,5260.00,5100.00,5100.00,7995.00,No,,,,07-07-2025, 11:45:33 p. m.,07-07-2025, 11:45:33 p. m.
84,"PCA922AREY002","ESMALTE SINTETICO AMARILLO","1/4 de galón",6150.00,5530.00,5260.00,5100.00,5100.00,7995.00,No,,,,07-07-2025, 11:45:33 p. m.,07-07-2025, 11:45:33 p. m.
85,"PCA922AZPACI2","ESMALTE SINTETICO AZUL","1/4 de galón",6150.00,5530.00,5260.00,5100.00,5100.00,7995.00,No,,,,07-07-2025, 11:45:33 p. m.,07-07-2025, 11:45:33 p. m.
86,"PCA922BERME02","ESMALTE SINTETICO BERMELLON","1/4 de galón",6150.00,5530.00,5260.00,5100.00,5100.00,7995.00,No,,,,07-07-2025, 11:45:33 p. m.,07-07-2025, 11:45:33 p. m.
87,"PCA922BLAN002","ESMALTE SINTETICO BLANCO","1/4 de galón",6150.00,5530.00,5260.00,5100.00,5100.00,7995.00,No,,,,07-07-2025, 11:45:33 p. m.,07-07-2025, 11:45:33 p. m.
88,"PCA922CAFMO02","ESMALTE SINTETICO CAFE","1/4 de galón",6150.00,5530.00,5260.00,5100.00,5100.00,7995.00,No,,,,07-07-2025, 11:45:33 p. m.,07-07-2025, 11:45:33 p. m.
89,"PCA922NARAN02","ESMALTE SINTETICO NARANJA","1/4 de galón",6150.00,5530.00,5260.00,5100.00,5100.00,7995.00,No,,,,07-07-2025, 11:45:33 p. m.,07-07-2025, 11:45:33 p. m.
90,"PCA922NEGRO02","ESMALTE SINTETICO NEGRO","1/4 de galón",6150.00,5530.00,5260.00,5100.00,5100.00,7995.00,No,,,,07-07-2025, 11:45:33 p. m.,07-07-2025, 11:45:33 p. m.
91,"PCA922VERESM2","ESMALTE SINTETICO VERDE","1/4 de galón",6150.00,5530.00,5260.00,5100.00,5100.00,7995.00,No,,,,07-07-2025, 11:45:33 p. m.,07-07-2025, 11:45:33 p. m.
