KOPR;KOSU;KOBO;NOKOPR;UD01PR;UD02PR;PM;PMIFRS;TIMOUL;PPUL01;PPUL02;TAUL;VALI;PMIN;FMPR;PFPR;HFPR;MRPR;RUPR;ULT_COMPRA;ULT_VENTA;STFI;VALSTOCK;PRMEDIO;UNIDAD;
"PCA926GRIMAQ2";"004";"006";"OLEO BRILLANTE GRIS MAQUINA 1/4";"GL";"04";       10921.37194;       10921.37195;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0002";"0001";"";"";"/  /";"/  /";          10.00000;       27303.42985;        2730.34299;"04";
"PCA926GRIMAQ2";"006";"007";"OLEO BRILLANTE GRIS MAQUINA 1/4";"GL";"04";       10921.37194;       10921.37195;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0002";"0001";"";"";"/  /";"/  /";           6.00000;       16382.05791;        2730.34299;"04";
"PCA923BLAN056";"004";"006";"ESMALTE SECAFAST BLANCO 4 GALONES";"GL";"BD";       11951.38794;       11951.38794;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0002";"0004";"";"";"/  /";"/  /";          49.00000;     2342472.03624;       47805.55176;"BD";
"PCA923DGRIS06";"004";"006";"ESMALTE SECAFAST DEMARCACION GRIS 4 GALONES.";"GL";"BD";        6181.62500;        6181.62500;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0002";"0004";"";"";"/  /";"/  /";           2.00000;       49453.00000;       24726.50000;"BD";
"PCA923DGRIS06";"004";"015";"ESMALTE SECAFAST DEMARCACION GRIS 4 GALONES.";"GL";"BD";        6181.62500;        6181.62500;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0002";"0004";"";"";"/  /";"/  /";           1.00000;       24726.50000;       24726.50000;"BD";
"PCA909G10BL06";"004";"006";"ESTUCO ELASTOMERICO G-10 BLANCO 4 GALONES";"GL";"BD";        4796.91660;        4796.91660;"N";        6825.00000;       27300.00000;           1.00000;           0.00000;           0.00000;"003";"0004";"0003";"";"01";"/  /";"/  /";          74.00000;     1419887.31360;       19187.66640;"BD";
"PCA909G10BL06";"004";"015";"ESTUCO ELASTOMERICO G-10 BLANCO 4 GALONES";"GL";"BD";        4796.91660;        4796.91660;"N";        6825.00000;       27300.00000;           1.00000;           0.00000;           0.00000;"003";"0004";"0003";"";"01";"/  /";"/  /";           2.00000;       38375.33280;       19187.66640;"BD";
"PCA922NARAN01";"004";"006";"ESMALTE SINTETICO NARANJO GL.";"GL";"GL";        9458.93265;        9458.93265;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0002";"0004";"";"01";"/  /";"/  /";          16.00000;      151342.92240;        9458.93265;"GL";
"PCA922NARAN01";"006";"007";"ESMALTE SINTETICO NARANJO GL.";"GL";"GL";        9458.93265;        9458.93265;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0002";"0004";"";"01";"/  /";"/  /";           6.00000;       56753.59590;        9458.93265;"GL";
"PCA926NARANJ2";"004";"015";"OLEO BRILLANTE NARANJA 1/4";"GL";"04";       10120.25432;        9838.31284;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0002";"0001";"";"01";"/  /";"/  /";           9.00000;       22770.57222;        2530.06358;"04";
"PCA926VERNIL2";"004";"015";"OLEO BRILLANTE VERDE NILO 1/4";"GL";"04";        1303.77900;        1303.77903;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0002";"0001";"";"";"/  /";"/  /";           0.62500;         203.71547;         325.94475;"04";
